Hotel_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
629,Lethem,GY,88.16,3.3803,-59.7968,Savannah Inn
632,Badin,PK,78.58,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
649,Itaituba,BR,89.22,-4.2761,-55.9836,Hotel Campos
651,Porto De Moz,BR,84.4,-1.7483,-52.2383,Dormitório labelle
653,Conakry,GN,80.55,9.538,-13.6773,Riviera Royal Hotel
654,Raisinghnagar,IN,77.79,29.5358,73.4492,N.D. Dhingra's Sterling Resorts
655,Ugoofaaru,MV,81.91,5.6667,73.0,Ungoofaaru Inn
661,Banda Aceh,ID,77.25,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
662,Boffa,GN,80.51,10.1667,-14.0333,Hôtel Niara Belly
664,Wajir,KE,82.42,1.7471,40.0573,Mahatallah Hotel
668,Vila Do Maio,CV,81.39,15.1333,-23.2167,Hotel Marilu
672,Mutuipe,BR,81.81,-13.2286,-39.5047,Hotel Portal do Vale
673,Kasempa,ZM,75.25,-13.4584,25.8338,Lolelunga Forest Reserve
679,Saint-Georges,GD,83.37,12.0564,-61.7485,Radisson Grenada Beach Resort
681,Ilhabela,BR,76.1,-23.7781,-45.3581,Ilha Flat Hotel
682,Ariquemes,BR,82.22,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
686,Cururupu,BR,85.1,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
689,Nsanje,MW,81.18,-16.92,35.262,Nsanje Discovery Lodge
692,Aplahoue,BJ,78.42,6.9333,1.6833,Hotel Immaculee
